Vandområde;Artsnavn;Antal;Biomasse;TAXA_include_as;Trivialnavn;GDI_notes
Stege Bugt;Hediste diversicolor;740;43.9567;Nereididae;Nereide havbørsteorme;
Stege Bugt;HESIONIDAE;0;0;;;
Stege Bugt;Hesionidae indet.;0;0;;;
Stege Bugt;Heteromastus filiformis;16;0.2436;Capitellidae;Capitellide havbørsteorme;
Stege Bugt;Heterotanais oerstedii;1;5.00E-04;;;tanaid
Stege Bugt;Hinia reticulata;0;0;;;
Stege Bugt;Hydrobia sp.;2242;6.8976;Littorinimorpha (small);Dyndsnegle;
Stege Bugt;Hydrobia ulvae;86;0.7144;Littorinimorpha (small);Dyndsnegle;
Stege Bugt;Hydrobia ventrosa;1372;3.7155;Littorinimorpha (small);Dyndsnegle;
Stege Bugt;Hydrozoa indet.;0;0;Littorinimorpha (small);Dyndsnegle;
Stege Bugt;Idotea balthica;77;0.9263;Isopoda;Tanglus;
Stege Bugt;Idotea chelipes;1;0.0273;Isopoda;Tanglus;
Stege Bugt;Idotea sp.;0;0;;;
Stege Bugt;Idotea viridis;14;0.1981;Isopoda;Tanglus;
Stege Bugt;Insecta indet.;8;0.1587;;;for få individer
Stege Bugt;Jaera albifrons;106;0.1308;Isopoda;Tanglus;
Stege Bugt;Kefersteinia cirrata;0;0;;;
Stege Bugt;Lanassa venusta;0;0;;;
Stege Bugt;Lanice conchilega;0;0;;;
Stege Bugt;Lepidochitona cinereus;0;0;;;
Stege Bugt;Lepidonotus squamatus;0;0;;;
Stege Bugt;Lepidoptera indet.;0;0;;;
Stege Bugt;Leucon nasica;0;0;;;
Stege Bugt;Limapontia sp.;0;0;;;
Stege Bugt;Lineus ruber;0;0;;;
Stege Bugt;Littorina littorea;0;0;;;
Stege Bugt;Littorina saxatilis;10;0.086;Littorinimorpha (large);Strandsnegle;
Stege Bugt;Littorina sp.;0;0;;;
Stege Bugt;Lymnaea sp.;12;1.1077;Lymnaeidae;Mosesnegle;ferskvandssnegle
Stege Bugt;Macoma balthica;122;13.7975;Macoma balthica;Østersømusling;
Stege Bugt;Macoma calcarea;0;0;;;
Stege Bugt;Macoma sp.;0;0;;;
Stege Bugt;Macroplea mutica;12;0.157;;;bladbiller
Stege Bugt;Malacoceros fuliginosus;0;0;;;
Stege Bugt;Maldanidae indet.;0;0;;;
Stege Bugt;Manayunkia aestuarina;4;0.0029;Sabellida;Sabellide havbørsteorme;
Stege Bugt;Marenzelleria sp.;0;0;;;
Stege Bugt;Marenzelleria viridis;5;0.3118;;;havbørsteorme i brakvand
Stege Bugt;Mediomastus fragilis;0;0;;;
Stege Bugt;Mediomastus sp.;0;0;;;
Stege Bugt;Melita palmata;38;0.1218;Amphipoda;Tanglopper;
Stege Bugt;Metopa sp.;0;0;;;
Stege Bugt;Microdeutopus gryllotalpa;258;0.2874;Amphipoda;Tanglopper;
Stege Bugt;Microdeutopus sp.;0;0;;;
Stege Bugt;Microphthalmus sp.;0;0;;;
Stege Bugt;Modiolarca tumida;0;0;;;
Stege Bugt;Modiolus modiolus;0;0;;;
Stege Bugt;Molgula citrina;0;0;;;
Stege Bugt;Musculus discors;0;0;;;
Stege Bugt;Musculus niger;0;0;;;
Stege Bugt;Musculus sp.;0;0;;;
Stege Bugt;Mya arenaria;112;11.4001;Mya arenaria;Sandmuslinger;
Stege Bugt;Mysella bidentata;0;0;;;
Stege Bugt;Mysidacea indet.;0;0;;;
Stege Bugt;Mysidae indet.;0;0;;;
Stege Bugt;Mytilus edulis;218;44.8867;Mytilus edulis;Blåmuslinger;
Stege Bugt;Neanthes sp.;0;0;;;
Stege Bugt;Neanthes succinea;0;0;;;
Stege Bugt;Neanthes virens;3;1.1704;Nereididae;Nereide havbørsteorme;
Stege Bugt;Nematoda indet.;19;1.00E-04;;;rundorme
Stege Bugt;Nemertini indet.;1;0.0281;;;slimbændler
Stege Bugt;NEMERTINI Slimbændler;0;0;;;
Stege Bugt;Neoamphitrite figulus;0;0;;;
Stege Bugt;Neomysis integer;0;0;;;
Stege Bugt;Nephtys caeca;0;0;;;
Stege Bugt;Nephtys ciliata;0;0;;;
Stege Bugt;Nephtys hombergii;0;0;;;
Stege Bugt;Nephtys sp.;0;0;;;
Stege Bugt;Nereididae indet.;0;0;;;
Stege Bugt;Nereimyra punctata;0;0;;;
Stege Bugt;NEREIS;0;0;;;
Stege Bugt;Nudibranchia indet.;0;0;;;
Stege Bugt;Odostomia sp.;0;0;;;
Stege Bugt;Oligochaeta indet.;18;0.0204;Tubificidae;Slamrørsorme;Tubifex eller Tubificoides
Stege Bugt;OLIGOCHAETA, Børsteorme;0;0;;;
Stege Bugt;Onoba aculeus;0;0;;;
Stege Bugt;Onoba sp.;0;0;;;
Stege Bugt;Ophelia borealis;0;0;;;
Stege Bugt;Ophelia rathkei;0;0;;;
Stege Bugt;Ophiodromus flexuosus;0;0;;;
Stege Bugt;Ophisthobranchia indet.;0;0;;;
Stege Bugt;Ophiura albida;0;0;;;
Stege Bugt;Ophiura sp.;0;0;;;
Stege Bugt;Palaemon adspersus;0;0;;;
Stege Bugt;Palaemon sp.;0;0;;;
Stege Bugt;Parvicardium exiguum;330;4.7344;Cardiidae;Hjertemuslinger;
Stege Bugt;Parvicardium hauniense;20;0.1969;Cardiidae;Hjertemuslinger;kun i Øresund 
Stege Bugt;Parvicardium ovale;0;0;;;
Stege Bugt;Parvicardium sp.;0;0;;;
Stege Bugt;Pectinaria hyperborea;0;0;;;
Stege Bugt;Pectinaria koreni;0;0;;;
Stege Bugt;Pectinaria sp.;0;0;;;
Stege Bugt;Phaxas pellucidus;0;0;;;
Stege Bugt;Philine aperta;0;0;;;
Stege Bugt;Philine sp.;0;0;;;
Stege Bugt;Pholoe assimilis;0;0;;;
Stege Bugt;Pholoe baltica;0;0;;;
Stege Bugt;Pholoe inornata;0;0;;;
Stege Bugt;Pholoe sp.;0;0;;;
Stege Bugt;Phoronis muelleri;0;0;;;
Stege Bugt;Phthisica marina;0;0;;;
Stege Bugt;Phyllodoce groenlandica;0;0;;;
Stege Bugt;Phyllodoce maculata;0;0;;;
Stege Bugt;Phyllodoce mucosa;0;0;;;
Stege Bugt;Phyllodoce sp.;0;0;;;
Stege Bugt;Platynereis dumerilii;0;0;;;
Stege Bugt;Podocoryne carnea;0;0;;;
Stege Bugt;Polychaeta indet.;0;0;;;
Stege Bugt;POLYCHAETA, Havbørsteorme;0;0;;;
Stege Bugt;Polydora caeca;0;0;;;
Stege Bugt;Polydora ciliata;0;0;;;
Stege Bugt;Polydora cornuta;108;0.2434;Spionida;Spionide havbørsteorme;
Stege Bugt;Polydora quadrilobata;0;0;;;
Stege Bugt;Polydora sp.;0;0;;;
Stege Bugt;Pontoporeia femorata;0;0;;;
Stege Bugt;Porifera indet.;0;0;;;
Stege Bugt;Potamopyrgus antipodarum;152;1.2761;Littorinimorpha (small);Dyndsnegle;
Stege Bugt;Praunus flexuosus;0;0;;;
Stege Bugt;Priapulus caudatus;0;0;;;
Stege Bugt;Prionospio sp.;0;0;;;
Stege Bugt;Procerodes littoralis;0;0;;;
Stege Bugt;Procladius sp.;2;0.0018;;;tovinge
Stege Bugt;Prosobranchia indet.;0;0;;;
Stege Bugt;Pseudopolydora antennata;0;0;;;
Stege Bugt;Pusillina sarsi;65;0.4806;Littorinimorpha (small);Dyndsnegle;
Stege Bugt;Pygospio elegans;102;0.4805;Spionida;Spionide havbørsteorme;
Stege Bugt;Radix peregra;1;0.2059;Lymnaeidae;Mosesnegle;ferskvandssnegle
Stege Bugt;Retusa obtusa;0;0;;;
Stege Bugt;Retusa sp.;0;0;;;
Stege Bugt;Retusa truncatula;0;0;;;
Stege Bugt;Rhithropanopeus harrisii;1;0.0294;;;invasiv art østamerikansk brakvandskrabbe
Stege Bugt;Rissoa membranacea;14;0.1018;Littorinimorpha (small);Dyndsnegle;
Stege Bugt;Rissoa sp.;0;0;;;
Stege Bugt;Scalibregma inflatum;0;0;;;
Stege Bugt;Scoloplos armiger;0;0;;;
Stege Bugt;Scrobicularia plana;0;0;;;
Stege Bugt;SEMELIDAE;0;0;;;
Stege Bugt;Sphaeroma hookeri;23;0.1804;Isopoda;Tanglus;
Stege Bugt;Sphaeroma rugicauda;0;0;;;
Stege Bugt;Spio filicornis;0;0;;;
Stege Bugt;Spionidae indet.;0;0;;;
Stege Bugt;Spiophanes bombyx;0;0;;;
Stege Bugt;Spirorbis sp.;0;0;;;
Stege Bugt;Spirorbis spirorbis;0;0;;;
Stege Bugt;Streblospio shrubsolii;0;0;;;
Stege Bugt;Streptosyllis websteri;0;0;;;
Stege Bugt;SYLLIDAE;0;0;;;
Stege Bugt;Syllidia armata;0;0;;;
Stege Bugt;Syllidia sp.;0;0;;;
Stege Bugt;Synelmis klatti;0;0;;;
Stege Bugt;Tanaidacea indet.;28;0.0028;;;tanaider er potentiel fiskeføde men er typisk i vegetation
Stege Bugt;Tanypodinae indet.;0;0;;;
Stege Bugt;Tanytarsini indet.;0;0;;;
Stege Bugt;Terebellides stroemi;0;0;;;
Stege Bugt;Theodoxus fluviatilis;324;4.8158;Neritidae;Neritter;brak og ferskvandssnegle
Stege Bugt;Trichoptera indet.;2;0.0052;;;vårfluer
Stege Bugt;Trochochaeta multisetosa;0;0;;;
Stege Bugt;Tubifex costatus;27;0.0209;Tubificidae;Slamrørsorme;
Stege Bugt;Tubificidae indet.;0;0;;;
Stege Bugt;Tubificoides benedii;16;0.0162;Tubificidae;Slamrørsorme;
Stege Bugt;Tubificoides sp.;0;0;;;
Stege Bugt;Turbellaria indet.;0;0;;;
Stege Bugt;Turritella communis;0;0;;;
