"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",10,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,71"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",26,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,71"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",19,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,89"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",29,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,01"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",13,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,80"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",1,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,10"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",7,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,41"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",15,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,50"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",23,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","3,11"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",18,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,71"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",4,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,50"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",16,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,50"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",1,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,80"
